,products,price,Description
33,Classic Non Veg Crisper,453,"Dive into our Classic Non-Veg Crisper—a delicious medley of tender, juicy meat, hand-battered and fried to a golden crunch. Seasoned to perfection with a hint of herbs, every bite delivers irresistible flavor and a satisfying crisp. Enjoy this timeless favorite, paired with zesty dips for an extra burst of taste!"
34,"Classic Non Veg
Crisper",326,"Experience our freshly baked nan—a light, fluffy flatbread with a perfect golden crust. Baked in a tandoor, it boasts an airy texture and subtle smoky notes, elevating every bite alongside your favorite curries and dips. Enjoy this classic, handcrafted delight!"
35,Spicy Non Veg Crisper,152,"Savor our Spicy Non-Veg Crisper—a zesty medley of tender, marinated chicken or beef, delicately battered and fried to a satisfying crunch. Each bite bursts with a bold, fiery spice blend and a tangy finish. Perfect as a vibrant starter or dynamic snack, this dish turns up the heat and flavor!"
36,"Tandoori Zinger
Burger",452,"Savor the bold taste of our Tandoori Zinger Burger! Enjoy a crispy, tandoori-marinated chicken fillet layered with crunchy lettuce, tangy onions, and a cool mint mayo, all nestled in a soft, buttery bun. A fiery twist on a classic favorite!"
37,Mixed Zinger Doubles ( 1 ch Zinger+1,365,"Introducing our Mixed Zinger Doubles—a dynamic duo featuring one signature, crispy chicken zinger paired with a complementary flavor twist. Crisply fried to perfection and bursting with bold spices, this irresistible combo delivers an exciting crunch and a double dose of zest in every bite. Perfect for adventurous palates looking for a delicious twist on a classic favorite!"
38,Tandoori Zinger),123,"Introducing our Tandoori Zinger – a fiery chicken fillet marinated in aromatic tandoori spices, flame-grilled for irresistible flavor, and nestled between soft buns. Topped with crisp lettuce and a tangy sauce, it's a spicy, juicy delight that promises a bold burst of taste in every bite."
39,2 Classic Chicken Crisper,365,"Experience double the crunch with our 2 Classic Chicken Crispers. Each hand-breaded, golden-fried piece boasts a satisfyingly crispy exterior and a juicy, tender interior. Perfectly seasoned and ideal for sharing or savoring solo, these timeless treats partner wonderfully with your favorite dipping sauce. Enjoy the perfect blend of texture and flavor in every bite!"
40,Chicken Longer Burger,452,"Savor our Chicken Longer Burger featuring tender, grilled chicken layered with crisp lettuce, ripe tomato, and a tangy sauce. Encased in a freshly baked bun, every bite delivers a satisfying blend of savory and zesty flavors. A delightful twist on a classic favorite!"
41,Burgers Veg,456,"Savor our Veggie Burger—a mouthwatering blend of grilled garden vegetables, hearty black beans, and aromatic herbs, topped with crisp lettuce, ripe tomato, and a drizzle of zesty sauce. Sandwiched in a perfectly toasted bun, this guilt-free delight celebrates freshness in every bite."
42,Veg Zinger Burger,552,"Experience the Veg Zinger Burger—a crispy, spiced vegetable patty layered with fresh greens, ripe tomatoes, and a tangy zesty sauce tucked in a lightly toasted bun. Every bite delivers a satisfying crunch and bold flavor, perfect for your hearty, veggie fix."
43,2 Classic veg Crispers,332,"Discover our 2 Classic Veg Crispers—a delightful duo of golden, crunchy vegetables lightly battered and perfectly seasoned. Each crisp is a celebration of fresh, vibrant flavors paired with a cool, tangy dip. Enjoy the satisfying crunch and vibrant taste in every bite."
44,Classic Veg Crisper,126,"Enjoy a medley of farm-fresh vegetables, lightly seasoned and perfectly crisped for an irresistible crunch. The Classic Veg Crisper celebrates timeless flavors with every bite—a healthy, savory delight that elevates your dining experience."
45,Spicy Veg Crisper,453,"Dive into a bold fusion of flavors with our Spicy Veg Crisper. Fresh vegetables are lightly battered and fried to perfection, then tossed in a fiery blend of spices. Each crisp bite hits a satisfying crunch while the vibrant heat is balanced by a cool, tangy sauce. A perfect appetizer for spice enthusiasts!"
46,Hot & Cripsy Chicken,410,"Savor our Hot & Crispy Chicken—juicy, tender pieces wrapped in a spiced, golden-brown crust. Each bite delivers a satisfying crunch and a burst of bold flavor, perfect for those who crave a little heat with their crunch."
47,1 pc,256,"Enjoy a perfectly seasoned, crispy-fried 1 Pc. of tender chicken. Each piece is expertly seasoned and slow-cooked to a golden crisp, delivering a satisfying crunch and juicy flavor in every bite. Ideal for those craving a classic treat with a savory twist."
48,2 pc,120,"Savor two succulent, golden-fried chicken pieces—crispy on the outside and juicy on the inside. Expertly seasoned and hand-breaded to perfection, this classic duo is served with your choice of dipping sauce for an irresistible, flavor-packed meal."
49,4 pc,452,"Enjoy our signature 4-piece chicken—tender, juicy pieces enveloped in a crispy, flavorful coating. Seasoned with a secret blend of herbs and spices, every bite delivers a perfect crunch and classic comfort. Ideal for sharing or savoring solo, this timeless favorite brings satisfying flavor to any meal."
50,6 Pc,123,"Savor six succulent pieces of our signature chicken—crisply fried to golden perfection with a secret blend of herbs and spices. Each bite is tender, juicy, and irresistibly flavorful. Perfectly paired with your favorite dipping sauces, this crowd-pleaser is ideal for sharing or treating yourself to a hearty, satisfying meal. Enjoy!

"
51,6 Pc,269,"Experience our freshly baked nan—a classic Indian flatbread with a pillowy center and perfectly crisp edges. Lovingly brushed with melted butter, it pairs beautifully with rich curries, enhancing every bite with a touch of authentic flavor."
52,8 pc Bucket,452,"Eight pieces of perfectly seasoned, hand-breaded chicken—fried to a crisp, golden finish. Each piece offers a satisfying crunch with a tender, juicy center, making every bite a flavor-packed delight. Ideal for sharing or a hearty meal of your own!"
53,5 Pc Fried Leg,741,"Enjoy five succulent fried chicken legs, crisped to perfection with a secret blend of herbs and spices. Each bite delivers a satisfying crunch and juicy, tender meat. Served with your favorite dipping sauce, this dish is perfect for sharing—or indulging all on its own."
54,"10 Pc
Fried Leg",362,"Enjoy our 10-piece fried leg platter: crispy, golden exteriors encasing tender, juicy meat. Each leg is seasoned to perfection and deep-fried for an irresistible crunch. Perfect for sharing or savoring solo, this classic comfort dish delivers a burst of flavor in every bite."
55,"10 Pc
Fried Leg",125,"Warm, fluffy naan, traditionally baked in a clay tandoor, boasts a delightfully charred exterior and soft, pillowy interior. Perfect for soaking up rich curries or enjoying on its own, this classic Indian flatbread offers an authentic taste of tradition in every bite."
56,Smoky Grilled Chicken,453,"Savor tender chicken marinated in a blend of zesty herbs and spices, then perfectly char-grilled to infuse a rich, smoky flavor. Each bite offers a delicious contrast of juicy meat and a subtle tang, creating an irresistible culinary delight."
57,1 pc,326,"Savor our perfectly fried 1 Pc. Chicken—a crispy, golden delight with tender, juicy meat inside. Expertly seasoned and cooked to a mouthwatering finish, it's ideal for a quick bite or a satisfying meal. Served with your choice of zesty dipping sauce, this solo piece packs a flavorful punch in every bite."
58,2 pc,152,"Savor two golden, crispy chicken pieces—perfectly seasoned and fried to a crunchy, juicy finish. Each bite delivers an irresistible blend of flavor and texture, making this classic favorite a satisfying treat for any appetite. Enjoy simplicity at its best with our timeless 2-Piece Chicken."
59,4 pc,452,"Savor our 4-piece chicken feast—crispy golden exterior meets tender, juicy meat inside. Each piece is expertly seasoned with a blend of herbs and spices, delivering mouthwatering flavor in every bite."
60,5 PC,365,"Enjoy our 5 PC Crunch—a savory selection of five succulent pieces of crispy fried chicken seasoned to perfection. Each bite delivers a delightful blend of herbs and spices, resulting in a golden, crunchy exterior and juicy interior. Perfect for sharing or as a personal treat, this dish promises a satisfying crunch with every mouthwatering bite."
61,5 PC,123,"Experience our freshly baked naan: a soft, pillowy Indian flatbread, lovingly prepared in a tandoor. With lightly charred edges and a whisper of melted butter, each bite is a perfect pairing for your favorite curries and dips."
62,6 Pc,365,"Enjoy our signature 6 Pc crispy chicken—perfectly marinated and fried to golden perfection. Each bite delivers a crunchy, tender explosion of flavor, making it an irresistible favorite for sharing or a fulfilling solo treat."
63,8 pc Bucket,452,"Dive into our 8 pc Bucket of golden, crispy chicken! Each piece is perfectly seasoned and fried to a crunchy finish, locking in tender, juicy flavor. Ideal for sharing or a hearty solo meal, this bucket is your ticket to a satisfying feast.

"
64,Buckets,456,"Buckets: Dive into our family-style feast packed with golden, crispy delights. Each bucket brims with mouthwatering bites seasoned to perfection. Designed for sharing, enjoy a medley of tender, flavorful pieces paired with our signature, zesty dips. Elevate your dining experience with every satisfying, crunchy mouthful."
65,Chick & Share Bucket: Xtra Large Popcorn,552,"Dive into our Xtra Large Chick & Share Bucket, loaded with golden, crunchy popcorn seasoned to perfection. Ideal for sharing with friends, each bite delivers a satisfying burst of flavor and crunch. Enjoy this irresistible snack—big, bold, and perfect for any movie night or casual hangout!"
66,Chick & Share Bucket: Xtra Large Popcorn,332,"Experience our delectable naan—soft, pillowy, and lightly charred to perfection. Baked fresh in a traditional tandoor, this artisanal flatbread boasts a crispy exterior and tender interior, making it the ideal companion for fragrant curries and savory dips."
67,Chick & Share Bucket: 5 pc Hot & Crispy,126,"Introducing our Chick & Share Bucket: 5 pieces of perfectly hot and crispy chicken. Each bite delivers a satisfying crunch with tender, juicy flavor and a hint of spice. Perfectly seasoned and freshly fried, it's an irresistible treat meant for sharing—or keeping all to yourself!"
68,Chick & Share Bucket: 10 pc Strips,453,"Dive into crisp perfection with our Chick & Share Bucket featuring 10 tender, golden chicken strips. Each strip is expertly seasoned and fried to a satisfying crunch. Perfect for sharing—or not. Pair with your favorite dipping sauces for an extra burst of flavor!"
69,Dips Bucket (12 Pc + 4 Dips),410,"Dive into our Dips Bucket—a shareable feast featuring 12 crispy bites paired with 4 delectable dips. Each crunchy piece bursts with flavor, perfectly complemented by our range of savory dips. Ideal for snacking, sharing, or adding a twist to your meal, this bucket is a must-try experience to elevate any occasion."
70,Dips Bucket (12 Pc + 4 Dips),256,"Enjoy our freshly baked Indian Naan. This soft, fluffy flatbread is tandoori-baked to perfection, offering a crisp exterior and tender interior. Lightly brushed with butter and infused with a hint of garlic, it’s the perfect partner for rich curries and savory gravies. Experience a timeless taste of tradition in every bite."
71,Mingles Bucket,120,"Dive into our Mingles Bucket—a vibrant mix of crispy, golden chicken pieces brushed with aromatic herbs and spices. Each bite delivers a delightful harmony of crunch and juicy flavor, crafted for sharing moments that celebrate bold taste. Enjoy this irresistibly tasty fusion that's sure to brighten your palate!"
72,Friendshi p Bucket DI/TA(3pc HC+3pc HW+3pc Strips +Med Popcorn),452,"Gather your crew for our Friendship Bucket DI/TA—an irresistible shareable feast! Enjoy 3 pieces each of HC, HW, and chicken strips paired with a serving of medium popcorn. Savor every bite of these crispy, flavorful delights, perfect for sharing moments and meals with friends."
73,Big Eight ( 4pc smoky+ 4pc HC),123,Introducing Big Eight—a delightful duo of flavor: 4 pieces of our irresistibly smoky chicken paired with 4 pieces of perfectly crispy HC. Each bite delivers a savory blend of char-grilled intensity and satisfying crunch. An ideal feast for those craving bold taste and unrivaled crunch in every mouthful. Enjoy this ultimate flavor pairing!
74,Big Eight ( 4pc smoky+ 4pc HC),269,"Discover our freshly baked Nan—a soft, pillowy flatbread crafted in a traditional tandoor. With a light char on the outside and a tender interior, it's the perfect companion to your favorite curries and stews. Enjoy a timeless classic that adds warmth and authenticity to any meal."
75,Friendshi p Bucket DL(3pc HC+3pc HW+3pc Strips + Large Popcorn),452,"Enjoy our Friendship Bucket DL, a feast perfect for sharing! Savor 3 pieces of Hot Chicken, 3 pieces of Warm Chicken, 3 tender chicken strips, and a large serving of popcorn—all in one bucket. Ideal for an unforgettable meal with friends!"
76,LTO/Pro mos,741,"LTO/Pro Mos – Our exclusive, limited-time offering redefines gourmet indulgence. Savor perfectly seared morsels, kissed with a hint of smoky char and drizzled with a bespoke glaze. Accented with vibrant seasonal herbs, this dish harmonizes modern technique with timeless flavors. Elevate your dining experience with every bold, tantalizing bite."
77,12 for 350 (12BS + 4dips) on Wednesdays,362,"Every Wednesday, indulge in a midweek treat: 12 delicious BS pieces paired with 4 irresistible dips—all for just 350. Perfect for sharing or savoring alone, this special offers an explosion of flavor with every bite. Don’t miss your chance to elevate your Wednesday dining experience with this unbeatable deal!"
78,10 for 550 (10pc HC)on,125,"Savor our delicious 10-pc HC – crispy, perfectly seasoned pieces fried to golden perfection. Each bite delivers a satisfying crunch and robust flavor that stands out. Grab this unbeatable offer of 10 pieces for just 550 and treat yourself to a quick, tasty indulgence!"
79,Wednesdays,453,"Wednesd ays: Experience midweek magic on your plate—a delectable fusion of succulent slow-roasted chicken, seasonal vegetables, and a zesty glaze. This dish brings a perfect touch of spice and warmth to transform your Wednesday into a celebration of fresh, comforting flavors."
80,Triple Treat(4 HC + 4Smoky + 6BonelessStrips),326,"Introducing Triple Treat: a savory trio featuring 4 HC, 4 Smoky, and 6 boneless strips. Enjoy a delectable medley of crispy, spicy chicken perfection—each bite delivers an explosion of mouthwatering flavor. A true feast for chicken lovers!"
81,"Super Sixes (4HC, 6HW, 8Strips)",152,"Introducing our Super Sixes platter – a mouthwatering mix of 4 crispy hot chicken pieces, 6 succulent hot wings, and 8 tender strips. Perfect for sharing or a satisfying solo feast, every bite promises a burst of flavor."
82,Sides,452,"Discover the perfect companion for your main course. Our sides include crispy fries, roasted vegetables, tangy coleslaw, and more—each crafted with fresh, locally sourced ingredients. Enjoy the added burst of flavor that completes any meal with style and taste."
83,Krushers,365,"Krushers: Experience icy perfection with a burst of bold, natural fruit flavors and a refreshing twist of tang. Handcrafted for peak coolness, each sip delivers an invigorating crunch that awakens your taste buds. Perfect for a sunny day treat, our Krushers bring a splash of fun and flavor to every moment."
84,7up KrushLime,123,"Dive into refreshment with 7up Krush Lime—a sparkling blend of crisp 7up and zesty lime for an irresistibly vibrant twist. This icy, invigorating beverage delivers a lively burst of citrus that dances on your palate, making it the ultimate thirst-quencher for any occasion."
85,Sparkling VanillaBlue),365,"Sparkling Vanilla Blue – An effervescent blend where smooth, creamy vanilla meets a burst of vibrant blue allure. This enchanting drink fizzes with subtle delight, offering an elegant twist to your refreshment experience."
86,(Virgin Mojito/,452,"Refresh your senses with our Virgin Mojito—a vibrant mix of muddled mint, zesty lime, and sparkling soda. This alcohol-free favorite offers a cool, invigorating twist perfect for sunny afternoons or any time you need a crisp burst of citrus delight."
87,Fries,456,"Crispy and golden, our hand-cut fries deliver the perfect crunch with every bite. Seasoned just right, they’re a timeless favorite—ideal for sharing or enjoying as a satisfying snack on their own."
88,Regular Fries,552,"Crispy, golden fries made from freshly cut potatoes. Lightly seasoned and fried to perfection, these classic fries are the ideal side dish for any meal. Enjoy the satisfying crunch and timeless flavor in every bite."
89,Medium Fries,332,"Crispy and golden, our Medium Fries are cut to perfection and lightly salted. Enjoy the satisfying crunch with every bite—a timeless side that pairs wonderfully with any meal."
90,Large Fries,126,"Satisfy your snack cravings with our Large Fries—crispy, golden perfection hand-cut for irresistible crunch. Seasoned to elevate every bite, these generously sized fries are the ultimate sidekick to any meal. Enjoy a classic treat that’s both hearty and delicious!"
91,Desserts,453,"Indulge your sweet tooth with our exquisite dessert offerings. Every creation is a tempting fusion of rich, velvety textures and delightful flavors—from sinfully decadent chocolate cakes to delicate fruit tarts and creamy cheesecakes. Finish your meal on a high note with a dessert crafted to captivate and delight."
92,Choco Mud Pie,326,"Dive into indulgence with our Choco Mud Pie—a decadent dessert featuring a crumbled cookie base, silky chocolate mousse, and a velvety ganache topping. Finished with a cloud of whipped cream, it’s the ultimate treat for every chocolate enthusiast."
93,Choco Lava Cake,152,"Experience pure indulgence with our Choco Lava Cake—a warm, moist chocolate cake that conceals a decadent, molten center. Each bite releases rich, velvety chocolate, perfectly paired with a sprinkle of powdered sugar and a scoop of vanilla ice cream for a divine, dessert delight."
94,Mini Dessert Bucket,452,"Dive into our Mini Dessert Bucket—a playful bounty of bite-sized treats. Enjoy layered cakes, velvety mousses, and crunchy cookie crumbles, all served in a charming mini bucket for an irresistible finish to your meal."
95,Cola,365,"Experience the refreshing burst of our classic Cola—a perfectly balanced blend of effervescence and sweetness. With every sip, enjoy the crisp, invigorating flavor that quenches your thirst and delights your senses. It's a timeless choice for any moment."
96,Pepsi Regular,123,"Pepsi Regular is a timeless classic that delivers a crisp, refreshing burst of cola perfection. Enjoy its iconic balance of sweetness and fizz, served ice-cold for an irresistibly satisfying sip every time."
97,Mirinda Regular,365,"Mirinda Regular bursts with vibrant orange flavor and a playful fizz that refreshes every sip. This iconic soda balances sweet tanginess with just the right amount of sparkle, making it the perfect companion for any meal or snack. Enjoy a taste of timeless fun in every chilled glass!"
98,7 Up Regular,452,"7 Up Regular is a timeless, crisp lemon-lime soda with a burst of effervescent refreshment. Its light, sparkling sweetness makes it the perfect thirst quencher, whether enjoyed with a meal or on a sunny afternoon."
99,Dew Regular,456,"Experience the crisp, refreshing burst of our Dew Regular—a revitalizing blend of citrus notes and subtle effervescence that awakens your senses like a cool morning mist. Perfectly balanced and invigorating, it’s the ultimate refreshment to complement any meal or moment. Enjoy the pure taste of everyday refreshment."
100,Dips/Sau ces and Seasonings,552,"Discover our artisanal selection of dips and seasonings. Enjoy a medley of flavorful dips—from zesty salsa to velvety hummus—paired perfectly with our signature spice blends. Ideal for sharing or savoring solo, these vibrant creations add an irresistible twist to any dish."
101,Dynamit e Spicy Mayo,332,"Dynamit e Spicy Mayo ignites your palate with bold, fiery passion. Tender crispy bites are drizzled with a velvety, spicy mayo that blends heat and creaminess. Each mouthful delivers a dynamic crunch and a zesty kick, making this dish an explosive feast of flavor. Dive in and savor the daring fusion!"
102,Creamy Veg Mayo,126,"Delight in our Creamy Veg Mayo—a luscious blend of hand-chopped garden vegetables folded into smooth, rich mayo. Perfect for spreading on sandwiches, drizzling over salads, or dipping fresh veggies, this zesty condiment adds a burst of vibrant flavor to your favorite dishes. Enjoy a satisfying mix of crisp freshness and velvety creaminess in every bite!"
103,Tandoori Masala Mayo,453,"Experience the fusion of tradition and tang with our Tandoori Masala Mayo. Creamy, smoky mayo meets bold tandoori spices, creating a versatile condiment perfect for sandwiches, wraps, or as a zesty dip. Elevate every bite with this irresistible, spicy twist."
104,Zesty thousand Island Dip,410,"Dive into bold flavor with our Zesty Thousand Island Dip. Creamy and tangy with a lively kick, it's blended with fresh herbs and just the right amount of spice. Perfect for crisp veggies, savory chips, or grilled delights, every bite is a burst of zest and smooth indulgence."
105,Nashvillle Dip,256,"Experience a Southern sensation with our Nashville Dip. Tender shredded chicken doused in smoky hot sauce, layered with creamy, tangy cheeses, and baked until perfectly melty. Each bite delivers a fiery kick balanced by smooth indulgence. Served hot with crispy crackers or toasted bread, it’s an irresistible, bold starter that captures the heart of Nashville's flavor."
106,Nashville Sauce Bottle - 225 g,120,"Ignite your taste buds with our bold Nashville Sauce—a fiery fusion of tangy spices and smoky heat. Perfect for marinating, grilling, or drizzling over your favorite dishes, this 225g bottle delivers an authentic kick that transforms meals into unforgettable culinary adventures."
107,Dynamit e Spicy Mayo bottle -200 g,452,"Experience a flavor explosion with Dynamit e Spicy Mayo—an irresistible blend of fiery spices and creamy smoothness. Housed in a 200g bottle, this condiment is perfect for drizzling over sushi, burgers, and salads. Add a spark to your culinary creations with every luscious bite!"
108,Spicy Mix Seasoning,123,"Ignite your palate with our Spicy Mix Seasoning—a bold blend of fiery chili, fragrant herbs, and smoky paprika. Perfect for elevating meats, veggies, or any dish, this seasoning delivers a balanced burst of heat and depth to every bite. Add a spirited twist to your culinary creations!"
109,Retail Products,269,"Discover a curated collection of retail products that blend everyday essentials with modern flair. From stylish accessories to innovative gadgets and home comforts, each item is selected for quality and value. Elevate your space and lifestyle with offerings designed to meet your daily needs and inspire extraordinary moments."
110,Pepsi,452,"Pepsi – a refreshing, effervescent cola boasting a bold balance of sweetness and fizz. Every sip offers a crisp, invigorating burst of flavor, perfect for quenching your thirst and complementing any meal or mood. Enjoy this classic delight chilled for maximum refreshment!"
111,7Up,741,"Experience the zesty crispness of 7Up—a refreshing blend of lemon-lime perfection. Each effervescent sip delivers a delightful burst of citrus, quenching your thirst and revitalizing your palate. Ideal for any meal, this sparkling classic brings a cool, tangy twist to your dining experience. Enjoy the unmistakable, invigorating flavor of 7Up!"
112,Mirinda,362,"Introducing Mirinda—a bold, citrus-infused soda bursting with lively, tangy flavors. Every sip delivers an effervescent, refreshing burst that enlivens your palate and adds a playful spark to any moment."
